"year","month","trend","lower","upper"
1850,12,-0.0341768763064417,-0.127270286718259,0.0589165341053755
1851,12,-0.033653596447378,-0.11823081493518,0.0509236220404241
1852,12,-0.0331424242129691,-0.110554921751346,0.0442700733254075
1853,12,-0.0326554672278681,-0.104460582955381,0.0391496484996444
1854,12,-0.0322048331167298,-0.0999422096226248,0.0355325433891652
1855,12,-0.0318026295042083,-0.0967531498328771,0.0331478908244604
1856,12,-0.0314609640149577,-0.0944892366068328,0.0315673085769175
1857,12,-0.0311748417624447,-0.0927886860997707,0.0304390025748814
1858,12,-0.0308708578153867,-0.0915393250403574,0.0297976094095839
1859,12,-0.0304585047313138,-0.0906918894760681,0.0297748800134405
1860,12,-0.029847275067756,-0.0900977896367257,0.0304032395012136
1861,12,-0.0289466613822434,-0.0894632427095624,0.0315699199450756
1862,12,-0.0276661562323059,-0.0884008367175154,0.0330685242529037
1863,12,-0.0259443574713973,-0.0866434112020388,0.0347546962592443
1864,12,-0.0238362841366658,-0.0843837464838457,0.036711178210514
1865,12,-0.021426060561184,-0.0819119513188683,0.0390598301965003
1866,12,-0.0187978110780239,-0.0793963110150664,0.0418006888590187
1867,12,-0.0160356600202576,-0.0768335427349058,0.0447622226943907
1868,12,-0.0132237317209572,-0.0740945722800555,0.0476471088381411
1869,12,-0.0104444926943012,-0.0711073736270933,0.0502183882384909
1870,12,-0.00777377817889409,-0.06811528934177,0.0525677329839819
1871,12,-0.0052857655944461,-0.0654186426475064,0.0548471114586142
1872,12,-0.00305463236066752,-0.0631879098999413,0.0570786451786063
1873,12,-0.00115455589726904,-0.0614133152215865,0.0591042034270484
1874,12,0.000340286376038786,-0.0599517630091233,0.0606323357612009
1875,12,0.00135371950208915,-0.0587179070640459,0.0614253460682242
1876,12,0.00180157837388976,-0.0579599560888314,0.0615631128366109
1877,12,0.00159770034699174,-0.0579871421611071,0.0611825428550905
1878,12,0.000655922776945984,-0.0589768868141916,0.0602887323680836
1879,12,-0.00110991698069612,-0.0609246092658199,0.0587047753044277
1880,12,-0.00378598157038355,-0.063692298238669,0.0561203350979019
